wine,rating,wine_year
Reserva,4.2,2016
Reserva,4.2,2016
Reserva,4.2,2016
Reserva,4.2,2016
"Ribera del Duero",4.2,2001
"Ribera del Duero",4.2,2001
"Ribera del Duero",4.2,2001
"Ribera del Duero",4.2,2001
"Ribera del Duero",4.2,2001
"Rejon Tempranillo",4.2,2015
"Finca Dofi",4.2,2016
"Finca Dofi",4.2,2016
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"Rioja Reserva",4.2,2013
"A Mano Rioja",4.2,2017
Tinto,4.2,2017
"A Mano Rioja",4.2,2018
"Rioja Gran Reserva",4.2,2016
"Rioja Gran Reserva",4.2,2016
"Rioja Gran Reserva",4.2,2016
"Rioja Gran Reserva",4.2,2016
"Rioja Gran Reserva",4.2,2016
"Rioja Gran Reserva",4.2,2016
"Rioja Gran Reserva",4.2,2016
"Ribera del Duero",4.2,1996
"Ribera del Duero",4.2,1996
"Ribera del Duero",4.2,1996
"Ribera del Duero",4.2,1996
"Ribera del Duero",4.2,1996
"Gran Reserva",4.2,2010
"Gran Reserva",4.2,2010
