winery,avg_rating
"Bordalas Garcia",4.3
Rimarts,4.3
"Pinna Fidelis",4.3
"Dominio de Anza",4.3
Samsara,4.3
Cuentavinas,4.3
Jimenez-Landi,4.299999999999999
"Marques de Tomares",4.299999999999996
Campillo,4.285714285714286
"Torre de Ona",4.283333333333333
"Bosque de Matasnos",4.279999999999999
Mustiguillo,4.279999999999999
Barahonda,4.279999999999999
"Portal del Priorat",4.27857142857143
"Bodegas Faustino",4.272222222222222
Abadal,4.2666666666666675
"Ramon Bilbao",4.254545454545456
Matsu,4.250000000000001
"Quinta Sardonia",4.250000000000001
Aster,4.25
Pradorey,4.25
"Terras Gauda",4.22
"Bodegas La Horra",4.200000000000001
"Palmeri Sicilia",4.2
"El Coto",4.2
"Mar de Frades",4.2
Montecastro,4.2
"Hispano Suizas",4.2
Murviedro,4.2
"Diez Caballero",4.2
Vegalfaro,4.2
"Palacios Remondo",4.2
"Adega Familiar Eladio Pineiro",4.2
"Enrique Mendoza",4.2
"Clos Pons",4.2
