designation,total_reviews
"Pesus Ribera del Duero 2014",821
"Gran Vino Albarino 2019",188
"Reserva Especial Ribera del Duero 2015",270
"Cuatro Palmas Amontillado N.V.",NULL
"Pago Garduna 2016",318
"Belondrade y Lurton 2020",3567
"Toro 2017",23645
"La Cueva del Contador Rioja 2017",1193
"Finca el Bosque 2016",929
"Solera 1830 Pedro Ximenez N.V.",NULL
"Que Bonito Cacareaba Blanco 2018",170
"5o Ano Ribera del Duero Tinto 2014",569
"Baron de Chirel Rioja Reserva 2016",2296
"Capitel 2016",269
"Turo d'en Mota 2005",367
"Amancio 2015",851
"Regina Vides Ribera del Duero 2015",1095
"Emeritvs (Emeritus) 2013",344
"Regina Vides Ribera del Duero 2016",1095
"Turo d'en Mota 2006",367
"Cami Pesseroles 2009",843
"Reserva 2018",36868
"Amancio 2014",851
"Finca Los Hoyales Ribera del Duero 2015",491
"Vina El Pison 2013",1930
"Pesus Ribera del Duero 2015",821
"Pago Garduna 2009",318
"La Basseta 2013",315
"Territorio Luthier Reserva 2016",128
"Valbuena 5o 1988",60745
"Son Negre 2011",385
"Clos de L'Obac 2010",665
"Vinas Viejas de Soria Ribera Del Duero 2018",571
"Pago de Santa Cruz Gran Reserva Ribera del Duero 2014",231
"Cami Pesseroles 2010",843
"Parcela El Picon Tinto 2015",761
"Seleccion Rioja 2015",157
"Millenium Reserva 1996",266
"Acediano 2015",415
"Gaudium 2016",2817
"Vinas Viejas de Soria Ribera Del Duero 2017",571
"Finca el Bosque 2017",929
"Pico de Luyas 2016",133
"Grandes Anadas Rioja 2001",323
"Bruto 2019",810
"Aro 2004",853
"Mas Via Gran Reserva Brut 2004",131
"Les Aubaguetes Priorat 2015",158
"La Mula de la Quietud 2016",355
"Navarra Coleccion 125 Blanco 2018",301
"Dalmau Rioja 2015",3526
"Chardonnay Uno 2011",149
"Don PX Vieja Cosecha 1973",95
"Ribas de Cabrera 2018",94
"Cenit 2012",92
"El Carretil 2012",455
"Quinon de Valmira 2016",190
"Acediano 2014",415
"Mas del Serral 2007",82
"Estrats 2009",132
"Son Negre 2016",385
"Fino Imperial Amontillado 30 Anos N.V.",NULL
"Coliseo Amontillado VORS N.V.",NULL
"Finca el Bosque 2018",929
"Grans Muralles 2000",681
"Malleolus de Valderramiro 2018",1617
"Contador Rioja 2016",960
"Vina Tondonia Gran Reserva Blanco 1981",78
"Cami Pesseroles 2014",843
"Priorat 2019",9476
"8000 2017",75
"Pesus Ribera del Duero 2009",821
"La Basseta 2017",315
"La Poza de Ballesteros 2010",568
"Mironia Black Edition Tempranillo 2015",73
"La Creu Alta 2015",278
"Miserere 2010",370
"Prado Enea Gran Reserva 2015",1424
"Alma Tobia Rioja 2015",72
"Tm 2016",71
"Doix 2017",876
"La Loma 2017",98
"Nebro Ribera del Duero 2011",266
"Priorat 2012",18952
"El Carretil 2015",455
"El Canto del Angel 2014",66
"Grandes Anadas Rioja 1998",323
"Rioja Blanco Reserva 2012",66
"Gran Reserva 2011",15381
"Cayetano del Pino Viejisimo Palo Cortado N.V.",NULL
"Calvario Rioja 2002",542
"Gran Reserva Penas Aladas 2012",152
"Cami Pesseroles 2012",843
"Unico 1969",38093
"Gratallops Partida Bellvisos 2005",128
"Coleccion Privada 2017",1690
"Finca El Canto 2015",58
"Finca Cascorrales 2016",57
"Rioja Gran Reserva 904 1987",6814
"AAA 2004",119
"Tinto 2007",76714
"Rioja Gran Reserva 1994",12629
"Gran Reserva 1964",5127
"Marques de Poley Amontillado Seleccion 1951 1951",53
"Ribera Del Duero Reserva Premium 6 Anos 2014",959
"Reserva Especial 2006",223
"Platon Tinto 2019",52
"Altos de Las Gateras Monastrell 2013",51
"Canta la Perdiz 2013",51
"Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja) 2016",50
"Cava Kripta Gran Reserva Brut Nature 2013",1861
"Alba de Miros Rueda Verdejo 2019",49
"Ribera del Duero TSM 2006",1128
"Pendon De La Aguilera 2010",47
"V2 Tinto 2009",482
"L'Ermita Velles Vinyes Priorat 2003",1455
"Cami Pesseroles 2016",843
"Planots Priorat 2013",158
"Celia 2011",94
"Ribera del Duero Prestigio Pago de las Solanas 2010",189
"Priorat 1998",9476
"Calmo 2014",43
"Gran Reserva 1928",5127
"Dalmau Rioja 2000",3526
"Son Negre 2005",385
"Confesor Rioja 2004",42
"Cartago Paraje de Pozo 2016",332
"La Bienquerida 2019",420
"Seleccion Especial 2015",35518
"Saca Unica N.V.",NULL
"Taberner No. 1 2011",70
"Palomero 2010",38
"Grano a Grano 2017",37
"Nebro Ribera del Duero 2015",266
"Valbuena 5o 1976",60745
"Petit Verdot 2018",660
"La Faraona Bierzo (Corullon) 2015",90
"Santa Ana Pedro Ximenez 1861 N.V.",NULL
"Cuvee Julia Ribera del Duero 2011",35
"Don PX Seleccion 1949",178
"Garnacha 2019",5253
"Vina Tondonia Gran Reserva 2001",391
"Cami Pesseroles 2013",843
"Las Lamas Bierzo (Corullon) 2018",176
"Finca Garbet 2015",107
"200 Monges Rioja Reserva Seleccion Especial 2006",32
"Galia Clos Santuy 2016",60
"Tomas Esteban 2011",89
"Finca Las Comas Verdejo 2018",92
"Valbuena 5o 1975",60745
"Petit Verdot 2004",660
"St Antoni de Scala Dei Priorat 2017",30
"Anada Palo Cortado 1987 1991",83
"Valdegines 2019",806
"Seda de Oro Reserva 2016",29
"Grano a Grano Graciano - Garnacha 2016",29
"Reserva 1986",18434
"Carraquintana de Amaren 2017",29
"Garnacha Parcela 81 Vinas Viejas 2017",28
"Saktih 2016",58
"Cava Enoteca Finca de L'Origen Brut Nature 2002",28
"Salinas 1237 2014",28
"Cabernet Sauvignon 2019",27
"Finca La Colina Sauvignon Blanc 2021",27
"Vina Ardanza Reserva 2015",39103
"Roda I Reserva Rioja 2009",13188
"Roda I Reserva Rioja 2010",13188
"3er Ano Ribera del Duero Tinto 2017",5836
"Ribera del Duero 2007",55895
"Macan Clasico 2016",2610
"Roda I Reserva Rioja 2011",13188
"Alaya Tierra (Old Vines Vieilles Vignes) 2017",3893
"Castillo Ygay Gran Reserva Especial Tinto 2004",12540
"Roda I Reserva Rioja 2012",13188
"3er Ano Ribera del Duero Tinto 2018",5836
"Cosecha 2018",3043
"Red 2019",5143
"Macan 2010",5615
"Ribera del Duero 2006",55895
"Torre Muga 2006",5026
"Roda I Reserva Rioja 2015",13188
"El Viejo 2018",3024
"Ribera del Duero Una Cepa I 2016",4573
"Hacienda Pradolagar 2015",1326
"Cava Kripta Gran Reserva Brut Nature 2008",1861
"Cosecha 2017",3043
"Rioja Reserva 2010",39318
"Garnacha 2016",5253
"Rioja Reserva 2009",39318
"Ribera del Duero 2005",55895
"Alaya Tierra (Old Vines Vieilles Vignes) 2018",3893
"Ribera del Duero 2004",55895
"Priorat 2014",9476
"200 Monges Rioja Reserva 2011",3649
"Reserva Ribera del Duero 2016",2333
"Malleolus 2019",2099
"VS 2014",2513
"Reserva 2011",18434
"Flor de Pingus 2008",14383
"Roda I Reserva Rioja 2016",13188
"Reserva Tinto 2017",2678
"VS 2015",2513
"Jumilla Blue Label 2019",7606
"Palo Cortado Tradicion Vors 30 Years Sherry N.V.",NULL
"San Vicente Rioja 2011",3651
"Garnacha 2018",5253
"Triga 2016",2209
"Gaudium 2014",2817
"Amontillado Tradicion Vors 30 Years N.V.",NULL
"Victorino 2016",3456
"Priorat 2011",9476
"Priorat 2010",9476
"Culmen Reserva Rioja 2011",1331
"Alaya Tierra (Old Vines Vieilles Vignes) 2019",3893
"Roda I Reserva Rioja 2005",13188
"Reserva Privada Rioja 2015",2113
"Pago Negralada 2014",1706
"Baron de Chirel Rioja Reserva 2015",2296
"Ribera del Duero 2001",55895
"Baron de Chirel Rioja Reserva 2005",2296
"Rejon Tempranillo 2015",1273
"Finca Dofi 2016",6036
"Interpretacion 2016",618
"Torre Muga 2015",5026
"San Vicente Rioja 2016",3651
"Vendimia 2017",1726
"Priorat Vinyes Velles 2017",1998
"Gaudium 2015",2817
"Macan Clasico 2017",2610
"Rioja Reserva 2013",78636
"Dalmau Rioja 2016",3526
"Tempranillo Reserva 2010",700
"Whisba Tempranillo Aged 18 Months in Whisky Barrels 2019",363
"A Mano Rioja 2017",2331
"Finca Los Hoyales Ribera del Duero 2014",491
"200 Monges Rioja Gran Reserva 2001",389
"La Cueva del Contador Rioja 2011",1193
"La Hormiga de Antidoto 2019",336
"Edicion Limitada 2015",328
"Lealtanza Coleccion de Artistas Espanoles Sorolla 2010",316
"Granja Gran Reserva Rioja 2011",1252
"Priorat 2016",9476
"Don PX Pedro Ximenez 1994",668
"Perez Pascuas Gran Reserva Seleccion 2010",941
"Cava Kripta Gran Reserva Brut Nature 2011",1861
"Miserere 2005",370
"Clos Martinet 2015",3211
"V2 Tinto 2008",482
"Grans Muralles 2014",681
"Cerrado del Castillo Rioja 2015",316
"A Mano Rioja 2018",2331
"Rioja Gran Reserva 2016",37887
"El Puntido Gran Reserva 2007",1021
"Pagos Viejos 2004",644
"Ribera del Duero 1996",55895
"Trasnocho 2010",1542
"La Cueva del Contador Rioja 2016",1193
"Clos Martinet 2011",3211
"Cava Kripta Gran Reserva Brut Nature 2010",1861
"Triga 2017",2209
"Cuvee Old Vines Unfiltered 2017",241
"Gran Reserva 2010",5127
"Fondillon 1996",236
"1730 Pedro Ximenez N.V.",NULL
"Cirerets 2018",289
"Dominio del Pidio 2018",225
"Vina del Olivo 2016",980
"La Cueva del Contador Rioja 2012",1193
"Clos Martinet 2008",3211
"Vinas Viejas Verdejo 2019",3503
"Valbuena 5o 1994",60745
"Tadeo Tinto 2014",215
"Tierras de Cair Reserva 2014",743
"Tinto 2014",115071
"Navarra Coleccion 125 Blanco 2017",301
"Cava Celler Batlle 2006",488
"Rioja Blanco 2017",5274
"Casa Cisca Monastrell 2015",672
"Calvario Rioja 2008",542
"Granja Gran Reserva Rioja 2012",1252
"Pago Negralada 2013",1706
"Doix 2007",876
"Seleccio Especial Vinyes Velles 2013",775
"Idus 2017",362
"Clos Martinet 2007",3211
"Clos Abella Seleccion Especial 2014",217
"Pie Franco 2017",467
"Amancio 2013",851
"Malleolus de Sanchomartin 2007",1750
"Culmen Reserva Rioja 2001",1331
"Singular V Malcorta Verdejo 2020",168
"Serral del Vell Brut Nature 2014",280
"Pago Negralada 2009",1706
"Trasnocho 2014",1542
"Doix 2013",876
"Seleccion Finca el Grajo Viejo 2016",1184
"Finca el Bosque 2014",929
"La Poza de Ballesteros 2015",568
"Millenium Reserva 2015",266
"30 Years VORS Pedro Ximenez Sherry N.V.",NULL
"Gaudium 1994",2817
"Vina del Olivo 2015",980
"Finca el Bosque 2012",929
"Malpuesto 2018",397
"Valdegines 2018",806
"Chafandin 2018",514
"Vina El Pison 2007",1930
"Pago Negralada 2016",1706
"La Vina de Andres Romeo Rioja 2012",290
"Pesus Ribera del Duero 2012",821
"Regina Vides Ribera del Duero 2012",1095
"Delicado Cosecha Pedro Ximenez 2019",319
"Quincha Corral 2016",145
"Els Escurcons 2014",326
"Rioja Reserva 2014",117954
"Idus 2018",362
"Vinos Singulares Tempranillo Blanco Reserva 2014",141
"Christina Ribera del Duero 2016",219
"Desti 2018",136
"Gran Reserva Classica Tinto 2001",135
"Aquilon Garnacha 2014",420
"Palo Cortado 1/10 N.V.",NULL
"Rioja Blanco 2018",7911
"Seleccion de Anada Albarino Rias Baixas 2012",1171
"Albarino de Fefinanes III Ano 2017",128
"Reserva Ribera del Duero 2018",2333
"Perpetual 2017",657
"Cava Celler Batlle 2010",488
"Seleccio Especial Vinyes Velles 2016",775
"El Cel 2015",211
"Montes Obarenes Seleccion Terroir 2016",332
"Porrera Vi de Vila 2017",747
"Gran Ribera del Duero 2010",122
"Heretge Priorat 2017",153
"Vinas Viejas 2018",730
"La Poza de Ballesteros 2014",568
"El Carretil 2010",455
"Sibarita Oloroso Jerez-Xeres-Sherry 30 Years V.O.R.S N.V.",NULL
"Pago de Santa Cruz Gran Reserva Ribera del Duero 2015",231
"17 2018",115
"Pesus Ribera del Duero 2011",821
"Doix 2014",876
"Les Tosses 2014",205
"Cami Pesseroles 2007",843
"La Poza de Ballesteros 2013",568
"Clos del Portal Tros de Clos 2016",109
"Pago de Santa Cruz 2019",1458
"La Basseta 2016",315
"Classic 1996",530
"Nit de Nin Mas d'en Cacador 2017",245
"Minami 2016",106
"Rioja Gran Reserva 904 1982",6814
"Vi de Vila Gratallops 2019",2668
"Acediano 2016",415
"Cava Celler Batlle 2009",488
"Classic 2012",530
"Veguin de Murua Gran Reserva 2012",101
"Doix 2015",876
"Teixar 2015",99
"Anada Pedro Ximenez 2018",99
"Vina El Pison 1999",1930
"Clos del Portal Somni 2016",557
"Les Manyes 2015",408
"Emporda Aires de Garbet 2017",134
