wine_type,wine_year,avg_rating
"Rioja Red",1987,4.3500000000000005
"Pedro Ximenez",1951,4.5
"Toro Red",2019,4.327272727272728
Monastrell,2013,4.5
Cava,2013,4.425000000000001
Cava,2010,4.3999999999999995
Mencia,2019,4.314285714285714
Mencia,2018,4.33
Mencia,2017,4.327272727272727
Mencia,2015,4.375
"Cabernet Sauvignon",2019,4.5
"Sauvignon Blanc",2021,4.5
Tempranillo,2004,4.333333333333333
Red,1996,4.4
Verdejo,2017,4.314285714285715
Cava,2009,4.4
"Rioja White",2017,4.317241379310343
"Rioja White",2019,4.316666666666667
"Rioja White",2016,4.311111111111111
"Rioja White",2014,4.323076923076923
"Rioja White",2015,4.316666666666666
"Rioja White",2013,4.3090909090909095
"Rioja White",2011,4.3090909090909095
Cava,2014,4.4
Cava,2016,4.316666666666666
Cava,2015,4.4
"Pedro Ximenez",2019,4.333333333333333
"Pedro Ximenez",2017,4.35
Albarino,2012,4.3
Albarino,2011,4.3
Albarino,2008,4.3
Albarino,2017,4.366666666666667
"Pedro Ximenez",2018,4.4
Syrah,2019,4.35
Syrah,2018,4.333333333333333
"Pedro Ximenez",1990,4.366666666666667
"Pedro Ximenez",1988,4.366666666666667
Tempranillo,2008,4.4
"Cabernet Sauvignon",2016,4.285714285714286
"Cabernet Sauvignon",2015,4.300000000000001
"Cabernet Sauvignon",2014,4.325
"Cabernet Sauvignon",2010,4.285714285714286
"Rioja Red",1922,4.4
Albarino,2020,4.279999999999999
Cava,2019,4.4
"Sauvignon Blanc",2019,4.4
"Rioja White",2008,4.4
