category,wine,rating,wine_year
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2012
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino","Rioja Reserva",4.2,2011
"Peor vino",Reserva,4.2,2015
"Peor vino",Reserva,4.2,2015
"Peor vino",Reserva,4.2,2015
"Peor vino",Reserva,4.2,2015
"Peor vino",Reserva,4.2,2015
"Peor vino",Reserva,4.2,2015
"Peor vino","Gran Reserva",4.2,2007
"Peor vino","Gran Reserva",4.2,2007
"Peor vino","Gran Reserva",4.2,2007
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Reserva,4.2,2016
"Peor vino",Tinto,4.2,2009
"Peor vino","Ribera del Duero",4.2,1995
"Peor vino","Ribera del Duero",4.2,1995
"Peor vino","Ribera del Duero",4.2,1995
"Peor vino","Ribera del Duero",4.2,1995
"Peor vino","Ribera del Duero",4.2,1995
"Peor vino",Tinto,4.2,2018
"Peor vino",Tinto,4.2,2013
"Peor vino","Finca Dofi",4.2,2006
"Peor vino","Finca Dofi",4.2,2006
"Peor vino",Toro,4.2,2017
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino",Reserva,4.2,2018
"Peor vino","Ribera del Duero",4.2,2018
"Peor vino","Ribera del Duero",4.2,2018
"Peor vino","Ribera del Duero",4.2,2018
"Peor vino","Ribera del Duero",4.2,2018
"Peor vino","Ribera del Duero",4.2,2018
"Peor vino",Tinto,4.2,2011
"Peor vino",Tinto,4.2,2010
"Peor vino",Tinto,4.2,2012
"Peor vino","Gran Reserva",4.2,2011
"Peor vino","Gran Reserva",4.2,2011
"Peor vino","Gran Reserva",4.2,2011
"Peor vino","Coleccion Privada",4.2,2017
"Peor vino",Tinto,4.2,2007
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Rioja Gran Reserva",4.2,1994
"Peor vino","Gran Reserva",4.2,1964
"Peor vino","Gran Reserva",4.2,1964
"Peor vino","Gran Reserva",4.2,1964
"Peor vino","Gran Reserva",4.2,1928
