wine,winery
"Prado Enea Gran Reserva",Muga
"Alma Tobia Rioja",Tobia
Tm,"Tresmano - Tr3smano"
Doix,"Mas Doix"
Tinto,"Sei Solo"
"La Loma","Miguel Merino"
"Nebro Ribera del Duero","Finca Villacreces"
Priorat,"Clos Erasmus"
"El Carretil",Artadi
"El Canto del Angel","Virgen de la Asuncion"
"Grandes Anadas Rioja",Artadi
"Rioja Blanco Reserva","Remirez de Ganuza"
"Gran Reserva","Remirez de Ganuza"
"Calvario Rioja",Allende
"Gran Reserva Penas Aladas","Dominio del Aguila"
"Cami Pesseroles",Martinet
Unico,"Vega Sicilia"
"Gratallops Partida Bellvisos","Sara Perez y Rene Barbier"
"Coleccion Privada","Dehesa del Carrizal"
"Finca El Canto",Tarsus
"Finca Cascorrales","Hacienda Solano"
"Rioja Gran Reserva 904","La Rioja Alta"
AAA,"Marques de Grinon"
Tinto,"Adama Wines"
"Rioja Gran Reserva",Beronia
"Gran Reserva","Monte Real"
"Marques de Poley Amontillado Seleccion 1951","Toro Albala"
"Ribera Del Duero Reserva Premium 6 Anos","Bodegas Valduero"
"Reserva Especial",Enate
"Platon Tinto","Divina Proporcion"
"Altos de Las Gateras Monastrell","Vina al Lado de la Casa"
"Canta la Perdiz","Dominio del Aguila"
"Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja)","Marques de la Concordia"
"Cava Kripta Gran Reserva Brut Nature","Agusti Torello Mata"
"Alba de Miros Rueda Verdejo",Penafiel
"Ribera del Duero TSM","Carmelo Rodero"
"Pendon De La Aguilera","Dominio de Cair"
"V2 Tinto",Valquejigoso
"L'Ermita Velles Vinyes Priorat","Alvaro Palacios"
"Cami Pesseroles",Martinet
"Planots Priorat","Cal Pla"
Celia,Vizcarra
"Ribera del Duero Prestigio Pago de las Solanas",Matarromera
Priorat,"Clos Erasmus"
Calmo,Legaris
"Gran Reserva","Federico Paternina"
"Dalmau Rioja","Marques de Murrieta"
"Son Negre","Anima Negra"
"Confesor Rioja","Vinicola Real"
"Cartago Paraje de Pozo","Bodegas San Roman"
"La Bienquerida",Losada
