wine,wine_type,winery,avg_rating,num_ratings
"Vina Tondonia Gran Reserva","Rioja Red","R. Lopez de Heredia",4.433333333333334,9
"Petit Verdot",Red,"Abadia Retuerta",4.466666666666669,24
"Petit Verdot",Red,"Dehesa del Carrizal",4.466666666666666,6
"Petit Verdot",Red,"Bodegas Luis Perez",4.466666666666666,6
"Clos Martinet","Priorat Red",Martinet,4.339999999999979,225
"Millenium Gran Reserva","Ribera Del Duero Red","Tinto Pesquera",4.5,1
"Finca Dofi","Priorat Red","Alvaro Palacios",4.319999999999994,225
"Gran Reserva Ribera del Duero","Ribera Del Duero Red",Arzuaga,4.4,4
"Seleccio Especial Vinyes Velles","Priorat Red","Ferrer Bobet",4.4,25
"Calvario Rioja","Rioja Red",Allende,4.45,16
"Ribera del Duero Una Cepa I","Ribera Del Duero Red","Bodegas Valduero",4.374999999999998,16
"Grans Muralles",Red,"Familia Torres",4.420000000000001,25
"Gran Vino Albarino",Albarino,"Pazo Barrantes",4.5,1
"Pago Garduna",Syrah,"Abadia Retuerta",4.5,4
"La Cueva del Contador Rioja","Rioja Red","Bodega Contador (Benjamin Romeo)",4.400000000000005,49
"Que Bonito Cacareaba Blanco","Rioja White","Bodega Contador (Benjamin Romeo)",4.5,1
"Baron de Chirel Rioja Reserva","Rioja Red","Marques de Riscal",4.400000000000004,36
"Emeritvs (Emeritus)",Red,"Marques de Grinon",4.4,4
"Finca Los Hoyales Ribera del Duero","Ribera Del Duero Red","Cruz de Alba",4.45,4
"La Basseta","Priorat Red","Bodegas Mas Alta",4.466666666666666,9
"Territorio Luthier Reserva","Ribera Del Duero Red","Territorio Luthier",4.5,1
"Vinas Viejas de Soria Ribera Del Duero","Ribera Del Duero Red","Dominio de Es",4.379999999999998,25
"Pago de Santa Cruz Gran Reserva Ribera del Duero","Ribera Del Duero Red","Vina Sastre",4.45,4
"Seleccion Rioja","Rioja Red","Jesus Madrazo",4.45,4
"Millenium Reserva","Ribera Del Duero Red","Tinto Pesquera",4.45,4
Acediano,"Ribera Del Duero Red","Bodegas Naluar & Acediano",4.424999999999999,16
Gaudium,"Rioja Red","Marques de Caceres",4.383333333333336,36
"Pico de Luyas","Ribera Del Duero Red",Trus,4.4,4
"Grandes Anadas Rioja","Rioja Red",Artadi,4.424999999999999,16
"Mas Via Gran Reserva Brut",Cava,Mestres,4.4,4
"Navarra Coleccion 125 Blanco",Chardonnay,Chivite,4.45,4
"Chardonnay Uno",Chardonnay,Enate,4.4,4
"Don PX Vieja Cosecha","Pedro Ximenez","Toro Albala",4.5,1
"Ribas de Cabrera",Red,"Bodega Ribas",4.5,1
Cenit,Tempranillo,"Vinas del Cenit",4.5,1
"Mas del Serral",Sparkling,"Mas del Serral",4.5,1
Estrats,Red,Cervoles,4.4,4
"Vina Tondonia Gran Reserva Blanco","Rioja White","R. Lopez de Heredia",4.5,1
8000,"Ribera Del Duero Red","Marques de Burgos",4.5,1
"Mironia Black Edition Tempranillo","Ribera Del Duero Red",Penafiel,4.5,1
Miserere,"Priorat Red","Costers del Siurana",4.45,4
"Alma Tobia Rioja","Rioja Red",Tobia,4.5,1
Tm,Tempranillo,"Tresmano - Tr3smano",4.5,1
Doix,"Priorat Red","Mas Doix",4.3857142857142914,49
"Nebro Ribera del Duero","Ribera Del Duero Red","Finca Villacreces",4.399999999999999,16
"El Canto del Angel","Ribera Del Duero Red","Virgen de la Asuncion",4.5,1
"Rioja Blanco Reserva","Rioja White","Remirez de Ganuza",4.5,1
"Gratallops Partida Bellvisos","Priorat Red","Sara Perez y Rene Barbier",4.45,4
"Coleccion Privada",Red,"Dehesa del Carrizal",4.333333333333333,3
"Coleccion Privada","Rioja Red","Sierra Cantabria",4.333333333333333,6
"Finca El Canto",Tempranillo,Tarsus,4.5,1
"Finca Cascorrales","Ribera Del Duero Red","Hacienda Solano",4.5,1
"Rioja Gran Reserva 904","Rioja Red","La Rioja Alta",4.3500000000000005,36
"Marques de Poley Amontillado Seleccion 1951","Pedro Ximenez","Toro Albala",4.5,1
"Platon Tinto","Toro Red","Divina Proporcion",4.5,1
"Altos de Las Gateras Monastrell",Monastrell,"Vina al Lado de la Casa",4.5,1
"Canta la Perdiz","Ribera Del Duero Red","Dominio del Aguila",4.5,1
"Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja)","Rioja Red","Marques de la Concordia",4.5,1
"Cava Kripta Gran Reserva Brut Nature",Cava,"Agusti Torello Mata",4.425,16
"Alba de Miros Rueda Verdejo",Verdejo,Penafiel,4.5,1
"Pendon De La Aguilera","Ribera Del Duero Red","Dominio de Cair",4.5,1
"V2 Tinto",Red,Valquejigoso,4.3999999999999995,9
Celia,"Ribera Del Duero Red",Vizcarra,4.4,4
Calmo,"Ribera Del Duero Red",Legaris,4.5,1
"Confesor Rioja","Rioja Red","Vinicola Real",4.5,1
"La Bienquerida",Mencia,Losada,4.374999999999998,16
"Seleccion Especial",Red,"Clos d'Agon",4.333333333333333,6
"Seleccion Especial",Red,"Abadia Retuerta",4.333333333333332,24
"Seleccion Especial","Ribera Del Duero Red","Dominio de Loalva",4.333333333333333,6
Palomero,"Ribera Del Duero Red","Uvaguilera Aguilera",4.5,1
"Grano a Grano","Rioja Red",Ysios,4.5,1
"Cuvee Julia Ribera del Duero","Ribera Del Duero Red","Altos del Terral",4.5,1
"Las Lamas Bierzo (Corullon)",Mencia,"Descendientes de J. Palacios",4.366666666666666,9
"200 Monges Rioja Reserva Seleccion Especial","Rioja Red","Vinicola Real",4.5,1
"Galia Clos Santuy",Red,"El Regajal",4.4,4
"Tomas Esteban","Ribera Del Duero Red",Valderiz,4.4,4
"Finca Las Comas Verdejo",Verdejo,"Jose Pariente",4.4,4
"St Antoni de Scala Dei Priorat","Priorat Red","Scala Dei",4.5,1
Valdegines,Tempranillo,Artadi,4.35,16
"Seda de Oro Reserva","Rioja Red","Bodegas Valdelana",4.5,1
"Grano a Grano Graciano - Garnacha",Grenache,"Abel Mendoza Monge",4.5,1
"Carraquintana de Amaren","Rioja Red","Bodegas Amaren",4.5,1
"Garnacha Parcela 81 Vinas Viejas",Red,Anayon,4.5,1
"Cava Enoteca Finca de L'Origen Brut Nature",Cava,Gramona,4.5,1
"Salinas 1237",Red,"Sierra Salinas",4.5,1
"Cabernet Sauvignon","Cabernet Sauvignon","Dehesa del Carrizal",4.5,1
"Finca La Colina Sauvignon Blanc","Sauvignon Blanc","Vinos Sanz",4.5,1
"Vina Ardanza Reserva","Rioja Red","La Rioja Alta",4.274999999999997,64
"Roda I Reserva Rioja","Rioja Red","Bodegas Roda",4.37272727272727,121
"3er Ano Ribera del Duero Tinto","Ribera Del Duero Red","Tomas Postigo",4.366666666666666,9
"Macan Clasico","Rioja Red","Benjamin de Rothschild - Vega Sicilia",4.366666666666666,9
"Alaya Tierra (Old Vines Vieilles Vignes)",Grenache,Atalaya,4.3999999999999995,9
Cosecha,"Ribera Del Duero Red","Hacienda Monasterio",4.4,4
Red,Red,"Bodegas Mauro",4.2666666666666675,9
"El Viejo","Toro Red",Matsu,4.250000000000001,16
"Hacienda Pradolagar","Rioja Red","Marques de Vargas",4.4,1
"200 Monges Rioja Reserva","Rioja Red","Vinicola Real",4.319999999999999,25
Malleolus,"Ribera Del Duero Red","Emilio Moro",4.3,4
"Reserva Tinto","Ribera Del Duero Red","Pago de Los Capellanes",4.3500000000000005,4
"Jumilla Blue Label",Red,"Juan Gil",4.250000000000001,16
Triga,Red,Volver,4.366666666666666,9
Victorino,"Toro Red","Teso La Monja",4.339999999999998,25
"Reserva Privada Rioja","Rioja Red","Marques de Vargas",4.3500000000000005,4
"Pago Negralada",Tempranillo,"Abadia Retuerta",4.38,25
"Rejon Tempranillo",Tempranillo,Tridente,4.35,16
Interpretacion,"Ribera Del Duero Red",Ausas,4.4,1
Vendimia,"Ribera Del Duero Red","Tresmano - Tr3smano",4.333333333333333,9
"Priorat Vinyes Velles","Priorat Red","Ferrer Bobet",4.324999999999999,16
"Tempranillo Reserva","Rioja Red","Bodegas Amaren",4.333333333333334,6
"Tempranillo Reserva","Rioja Red","Lar de Paula",4.333333333333333,3
"Whisba Tempranillo Aged 18 Months in Whisky Barrels","Toro Red","Rodriguez Sanzo",4.4,1
"A Mano Rioja","Rioja Red",Lan,4.319999999999999,25
"200 Monges Rioja Gran Reserva","Rioja Red","Vinicola Real",4.3500000000000005,4
"La Hormiga de Antidoto","Ribera Del Duero Red",Antidoto,4.4,1
"Edicion Limitada","Ribera Del Duero Red","Bosque de Matasnos",4.4,1
"Lealtanza Coleccion de Artistas Espanoles Sorolla","Rioja Red",Altanza,4.4,1
"Granja Gran Reserva Rioja","Rioja Red",Remelluri,4.374999999999999,16
"Perez Pascuas Gran Reserva Seleccion","Ribera Del Duero Red","Vina Pedrosa",4.349999999999999,16
"El Puntido Gran Reserva","Rioja Red","Vinedos de Paganos",4.3500000000000005,4
"Pagos Viejos",Tempranillo,Artadi,4.333333333333333,9
"Cuvee Old Vines Unfiltered",Red,Volver,4.4,1
Fondillon,Red,Monovar,4.4,1
Cirerets,"Priorat Red","Bodegas Mas Alta",4.4,4
"Dominio del Pidio","Ribera Del Duero Red","Cillar de Silos",4.4,1
"Vinas Viejas Verdejo",Verdejo,Ossian,4.3,25
"Tadeo Tinto",Red,"Los Aguilares",4.4,1
"Tierras de Cair Reserva","Ribera Del Duero Red","Dominio de Cair",4.3500000000000005,4
"Cava Celler Batlle",Cava,Gramona,4.3999999999999995,16
"Rioja Blanco","Rioja White",Remelluri,4.309090909090911,77
"Rioja Blanco","Rioja White","Remirez de Ganuza",4.309090909090906,33
"Rioja Blanco","Rioja White",VALENCISO,4.3090909090909095,11
"Clos Abella Seleccion Especial","Priorat Red","Marco Abella",4.3500000000000005,4
"Pie Franco",Monastrell,"Casa Castillo",4.366666666666666,9
"Singular V Malcorta Verdejo",Verdejo,"Javier Sanz Viticultor",4.4,1
"Serral del Vell Brut Nature",Cava,Recaredo,4.3999999999999995,9
"Seleccion Finca el Grajo Viejo","Ribera Del Duero Red",Protos,4.349999999999999,16
Malpuesto,"Rioja Red",Orben,4.3500000000000005,4
Chafandin,"Ribera Del Duero Red",Jaro,4.333333333333333,9
"La Vina de Andres Romeo Rioja","Rioja Red","Bodega Contador (Benjamin Romeo)",4.3500000000000005,4
"Delicado Cosecha Pedro Ximenez","Pedro Ximenez","Bodegas Ximenez-Spinola",4.3500000000000005,4
"Quincha Corral",Red,Mustiguillo,4.4,1
"Els Escurcons","Priorat Red",Martinet,4.333333333333333,9
"Vinos Singulares Tempranillo Blanco Reserva","Rioja White","Vina Pomal",4.4,1
"Christina Ribera del Duero","Ribera Del Duero Red",Astrales,4.3500000000000005,4
Desti,"Priorat Red","Merum Priorati",4.4,1
"Gran Reserva Classica Tinto","Rioja Red","Hacienda Lopez de Haro",4.4,1
"Seleccion de Anada Albarino Rias Baixas",Albarino,"Pazo Senorans",4.300000000000001,9
"Albarino de Fefinanes III Ano",Albarino,Fefinanes,4.4,1
Perpetual,"Priorat Red","Familia Torres",4.3500000000000005,4
"El Cel","Priorat Red","Merum Priorati",4.4,4
"Montes Obarenes Seleccion Terroir","Rioja White","Gomez Cruzado",4.333333333333333,9
"Porrera Vi de Vila","Priorat Red","Vall Llach",4.324999999999999,16
"Gran Ribera del Duero","Ribera Del Duero Red",Resalte,4.4,1
"Heretge Priorat","Priorat Red","Scala Dei",4.4,4
"Vinas Viejas","Ribera Del Duero Red",Figuero,4.333333333333334,6
"Vinas Viejas","Ribera Del Duero Red",Lambuena,4.333333333333333,3
17,Tempranillo,Pinea,4.4,1
"Clos del Portal Tros de Clos","Priorat Red","Portal del Priorat",4.4,1
Classic,"Priorat Red","Cims de Porrera",4.339999999999998,25
Minami,Monastrell,"Casa Rojo",4.4,1
"Vi de Vila Gratallops","Priorat Red","Alvaro Palacios",4.2833333333333306,36
"Veguin de Murua Gran Reserva","Rioja Red",Murua,4.4,1
Teixar,"Montsant Red","Vinyes Domenech",4.4,1
"Anada Pedro Ximenez","Pedro Ximenez","Bodegas Ximenez-Spinola",4.4,1
"Clos del Portal Somni","Priorat Red","Portal del Priorat",4.300000000000001,9
"Les Manyes","Priorat Red","Terroir Al Limit Soc. Lda",4.316666666666666,36
"Emporda Aires de Garbet",Red,"Castillo Perelada",4.4,4
"Montes de Toledo Syrah",Syrah,"Pago de Vallegarcia",4.3500000000000005,4
"Maceracion Con Pieles",Albarino,"Eulogio Pomares",4.4,1
"Clos Monlleo","Priorat Red","Sangenis I Vaque",4.3500000000000005,4
"Rioja Reserva 10 Anos Despues Edicion Limitada","Rioja Red",VALENCISO,4.4,1
"Perinet + Plus","Priorat Red","Mas Perinet",4.4,1
"Ribera del Duero Torralvo","Ribera Del Duero Red",Vizcarra,4.3500000000000005,4
"El Cabernet F - Familiar",Red,"Chozas Carrascal",4.4,1
Premium,"Ribera Del Duero Red","Bodegas Vilano",4.4,1
"Hipperia Red Blend",Red,"Pago de Vallegarcia",4.3500000000000005,4
"Maria Ribera del Duero","Ribera Del Duero Red","Alonso del Yerro",4.4,4
"Vendimia Seleccionada","Ribera Del Duero Red","Emilio Moro",4.366666666666667,3
"Vendimia Seleccionada","Ribera Del Duero Red",Briego,4.366666666666667,3
"Vendimia Seleccionada","Ribera Del Duero Red","El Lagar de Isilla",4.366666666666667,3
