nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion
Naranjas Azules 2022,Soto y Manrique,Cebreros (España),Garnacha,"9,5",No descuento,37,"3,7",19,Vino rosado
Ramón Bilbao Rosado 2022,Bodegas Ramón Bilbao,Rioja (España),Garnacha,"7,9",No descuento,6,"4,2",25,Vino rosado
Numanthia 2018,Numanthia Termes,Toro (España),Tinta de Toro,"52,5",No descuento,28,"4,6",13,Vino tinto
Fuentespina 3 Meses Roble 2022,Bodegas Fuentespina,Ribera del Duero (España),Tempranillo,"6,8",No descuento,4,"4,0",3,Vino tinto
Cune Imperial Reserva 2018,Compañía Vinícola del Norte de España - CVNE,Rioja (España),Tempranillo/ Graciano/ Mazuelo,"29,2",No descuento,28,"4,1",8,Vino tinto
Torre La Moreira 2022,Marqués de Vizhoja,Rías Baixas (España),Albariño,"11,0",No descuento,4,"4,9",7,Vino blanco
Santiago Ruiz 2022,Santiago Ruiz,Rías Baixas (España),Albariño/ Loureiro/ Caiño blanco/ Treixadura/ Godello,"14,9",No descuento,4,"4,4",8,Vino blanco
Prima 2020,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro/ Garnacha,"12,0",No descuento,38,"4,3",30,Vino tinto
Emilio Moro 2020,Emilio Moro,Ribera del Duero (España),Tempranillo,"20,9",No descuento,74,"4,4",45,Vino tinto
Aria Brut Nature,Heredad Segura Viudas,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,"7,4",No descuento,9,"4,7",10,Cava
El Coto Crianza 2019,El Coto de Rioja,Rioja (España),Tempranillo,"7,0",No descuento,97,"4,6",144,Vino tinto
Carles Andreu Gran Reserva Brut Nature 2019,Celler Carles Andreu,DO Cava (España),Parellada/ Chardonnay/ Macabeo/ Xarel·lo,"12,9",No descuento,6,"4,5",8,Cava
Fagus de Coto de Hayas Selección Especial 2020,Bodegas Aragonesas,Campo de Borja (España),Garnacha,"21,0",No descuento,17,"4,8",11,Vino tinto
Peique Godello sobre Lías 2022,Bodegas Peique,Bierzo (España),Godello,"9,0",No descuento,10,"4,5",4,Vino blanco
Viña Real Crianza 2019,Viña Real,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,"8,4",No descuento,52,"4,1",53,Vino tinto
Peique Ramón Valle 2018,Bodegas Peique,Bierzo (España),Mencía,"8,4",No descuento,17,"4,0",31,Vino tinto
Terras de Cigarrón 2022,Adegas Galegas,Monterrei (España),Godello,"9,0",No descuento,12,"4,8",4,Vino blanco
Casa Castillo Monastrell 2021,Casa Castillo,Jumilla (España),Monastrell,"9,0",No descuento,58,"4,1",41,Vino tinto
Venta Las Vacas 2021,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,"19,6",No descuento,90,"4,6",38,Vino tinto
Viña Pomal Crianza 2020,Bodegas Bilbaínas,Rioja (España),Tempranillo,"9,0",No descuento,27,"3,8",13,Vino tinto
Montecastro 2020,Bodegas y Viñedos Montecastro,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,"20,5",No descuento,13,"4,3",11,Vino tinto
Avan Oak 2022,Bodegas y Viñedos Juan Manuel Burgos,Ribera del Duero (España),Tempranillo,"6,7",No descuento,16,"4,6",9,Vino tinto
